"Scenario","Difficulty","Hawthorne","Quality1","Quality2","Method","statistic","true_value","coverage_rate","mean_ci_width","nominal_coverage"
"s10","Easy",0.5,"B","B","cset","err_rate",0.0435945860961647,0.825,0.0242420242065998,0.95
"s10","Easy",0.5,"B","B","cset","inc_rate",0.197511870542661,0.905,0.110467786860653,0.95
"s10","Easy",0.5,"B","B","examiner","err_rate",0.0440538821337681,0.865,0.0265064933193255,0.95
"s10","Easy",0.5,"B","B","examiner","inc_rate",0.198468964939597,0.615,0.0472402419829909,0.95
"s10","Easy",0.5,"B","B","row","err_rate",0.0433092705074333,0.675,0.0162570497553065,0.95
"s10","Easy",0.5,"B","B","row","inc_rate",0.196272924849865,0.345,0.0284415804928434,0.95
"s11","Easy",0.5,"C","C","cset","err_rate",0.0663076486590569,0.815,0.0306347189284496,0.95
"s11","Easy",0.5,"C","C","cset","inc_rate",0.23913351010197,0.905,0.123716945969029,0.95
"s11","Easy",0.5,"C","C","examiner","err_rate",0.0667180149252999,0.91,0.0366037018320613,0.95
"s11","Easy",0.5,"C","C","examiner","inc_rate",0.239805160306813,0.56,0.0495788709718681,0.95
"s11","Easy",0.5,"C","C","row","err_rate",0.0661271905644068,0.645,0.0204451943597779,0.95
"s11","Easy",0.5,"C","C","row","inc_rate",0.240609660140557,0.375,0.0303776501121485,0.95
"s12","Easy",0.5,"C","D","cset","err_rate",0.0688177865601537,0.83,0.0308087992957787,0.95
"s12","Easy",0.5,"C","D","cset","inc_rate",0.258829870628663,0.94,0.12769025787552,0.95
"s12","Easy",0.5,"C","D","examiner","err_rate",0.069147190015664,0.905,0.0380704508156246,0.95
"s12","Easy",0.5,"C","D","examiner","inc_rate",0.257605687927976,0.535,0.0501982819780247,0.95
"s12","Easy",0.5,"C","D","row","err_rate",0.0694045746993602,0.63,0.0211489940068119,0.95
"s12","Easy",0.5,"C","D","row","inc_rate",0.259346104823457,0.35,0.0312224981986066,0.95
"s13","Medium",0,"A","A","cset","err_rate",0.0706535241413412,0.79,0.0332239029844184,0.95
"s13","Medium",0,"A","A","cset","inc_rate",0.334758060626987,0.875,0.107538433500223,0.95
"s13","Medium",0,"A","A","examiner","err_rate",0.070381130565653,0.875,0.0410636388349996,0.95
"s13","Medium",0,"A","A","examiner","inc_rate",0.333837675935896,0.78,0.0829949979592458,0.95
"s13","Medium",0,"A","A","row","err_rate",0.0710077217442405,0.565,0.0225629533460369,0.95
"s13","Medium",0,"A","A","row","inc_rate",0.33535003954471,0.44,0.0337615069627816,0.95
"s14","Medium",0,"B","B","cset","err_rate",0.10208045536481,0.815,0.0463112807070191,0.95
"s14","Medium",0,"B","B","cset","inc_rate",0.413497635149242,0.865,0.119862772792751,0.95
"s14","Medium",0,"B","B","examiner","err_rate",0.10267556451324,0.88,0.0532781633303272,0.95
"s14","Medium",0,"B","B","examiner","inc_rate",0.415415097247527,0.73,0.0839500118435483,0.95
"s14","Medium",0,"B","B","row","err_rate",0.102107120591472,0.54,0.0282846014510924,0.95
"s14","Medium",0,"B","B","row","inc_rate",0.413345340648276,0.385,0.0351052770876312,0.95
"s15","Medium",0,"C","C","cset","err_rate",0.143209265063757,0.81,0.0632493524975489,0.95
"s15","Medium",0,"C","C","cset","inc_rate",0.486652294343475,0.875,0.130261172965646,0.95
"s15","Medium",0,"C","C","examiner","err_rate",0.143263028624982,0.84,0.0671477954161003,0.95
"s15","Medium",0,"C","C","examiner","inc_rate",0.488653736142521,0.69,0.0794575496382379,0.95
"s15","Medium",0,"C","C","row","err_rate",0.144404727142807,0.515,0.0350082362992747,0.95
"s15","Medium",0,"C","C","row","inc_rate",0.487593793782076,0.41,0.0357715698186463,0.95
"s16","Medium",0,"C","D","cset","err_rate",0.145030346410814,0.865,0.0653808910570164,0.95
"s16","Medium",0,"C","D","cset","inc_rate",0.51882421652666,0.895,0.132899940503366,0.95
"s16","Medium",0,"C","D","examiner","err_rate",0.146428110159119,0.85,0.0697059904108304,0.95
"s16","Medium",0,"C","D","examiner","inc_rate",0.521845482214591,0.67,0.0777834850282112,0.95
"s16","Medium",0,"C","D","row","err_rate",0.146154927307581,0.515,0.0362616380421124,0.95
"s16","Medium",0,"C","D","row","inc_rate",0.518870642324315,0.415,0.0357713220654068,0.95
"s17","Medium",0.2,"A","A","cset","err_rate",0.0696644525167156,0.81,0.0329185548609301,0.95
"s17","Medium",0.2,"A","A","cset","inc_rate",0.347074789266359,0.885,0.109859784730301,0.95
"s17","Medium",0.2,"A","A","examiner","err_rate",0.0699610395719081,0.87,0.0403595181890852,0.95
"s17","Medium",0.2,"A","A","examiner","inc_rate",0.348463156570427,0.79,0.0832981646454552,0.95
"s17","Medium",0.2,"A","A","row","err_rate",0.069296521394511,0.58,0.0224930078329269,0.95
"s17","Medium",0.2,"A","A","row","inc_rate",0.34655698979228,0.43,0.0340285056197719,0.95
"s18","Medium",0.2,"B","B","cset","err_rate",0.100061608009983,0.81,0.0457279331407567,0.95
"s18","Medium",0.2,"B","B","cset","inc_rate",0.423971183244519,0.86,0.121435094250184,0.95
"s18","Medium",0.2,"B","B","examiner","err_rate",0.101025189458457,0.855,0.0517879893004701,0.95
"s18","Medium",0.2,"B","B","examiner","inc_rate",0.427053088606283,0.735,0.0834016662724474,0.95
"s18","Medium",0.2,"B","B","row","err_rate",0.0997676720338257,0.58,0.0283154685971731,0.95
"s18","Medium",0.2,"B","B","row","inc_rate",0.425664861117461,0.375,0.0352437562238061,0.95
"s19","Medium",0.2,"C","C","cset","err_rate",0.140086282102779,0.845,0.0629302859963198,0.95
"s19","Medium",0.2,"C","C","cset","inc_rate",0.498210651240364,0.87,0.130193651050405,0.95
"s19","Medium",0.2,"C","C","examiner","err_rate",0.139724463203335,0.85,0.0661868856188085,0.95
"s19","Medium",0.2,"C","C","examiner","inc_rate",0.500430537689522,0.68,0.0787010699862615,0.95
"s19","Medium",0.2,"C","C","row","err_rate",0.139806903698641,0.52,0.0348943254015529,0.95
"s19","Medium",0.2,"C","C","row","inc_rate",0.499220301192929,0.39,0.035909367490462,0.95
"s20","Medium",0.2,"C","D","cset","err_rate",0.14164261226734,0.815,0.0656445599556801,0.95
"s20","Medium",0.2,"C","D","cset","inc_rate",0.528778137119079,0.9,0.133858123778593,0.95
"s20","Medium",0.2,"C","D","examiner","err_rate",0.142656379015457,0.855,0.067519005860681,0.95
"s20","Medium",0.2,"C","D","examiner","inc_rate",0.530255067140958,0.68,0.0764052165718266,0.95
"s20","Medium",0.2,"C","D","row","err_rate",0.142199030239486,0.51,0.036693007360009,0.95
"s20","Medium",0.2,"C","D","row","inc_rate",0.53246386520176,0.41,0.0358204951589993,0.95
"s21","Medium",0.5,"A","A","cset","err_rate",0.0682054013223117,0.81,0.032839179136146,0.95
