"Scenario","Difficulty","Hawthorne","Quality1","Quality2","Method","statistic","true_value","coverage_rate","mean_ci_width","nominal_coverage"
"s7","Easy",0.2,"C","C","row","inc_rate",0.23012429698345,0.405,0.0299655597858243,0.95
"s8","Easy",0.2,"C","D","combined","err_rate",0.071049103074104,0.965,0.0544281144306175,0.95
"s8","Easy",0.2,"C","D","combined","inc_rate",0.249024484625148,0.955,0.13941843521967,0.95
"s8","Easy",0.2,"C","D","cset","err_rate",0.071049103074104,0.785,0.0318343826883987,0.95
"s8","Easy",0.2,"C","D","cset","inc_rate",0.249024484625148,0.925,0.125916469330403,0.95
"s8","Easy",0.2,"C","D","examiner","err_rate",0.071049103074104,0.87,0.038664764224943,0.95
"s8","Easy",0.2,"C","D","examiner","inc_rate",0.249024484625148,0.55,0.0496854134029063,0.95
"s8","Easy",0.2,"C","D","row","err_rate",0.071049103074104,0.625,0.0212219422238593,0.95
"s8","Easy",0.2,"C","D","row","inc_rate",0.249024484625148,0.365,0.0307335468594103,0.95
"s9","Easy",0.5,"A","A","combined","err_rate",0.0290124600494185,0.965,0.030559516166751,0.95
"s9","Easy",0.5,"A","A","combined","inc_rate",0.157341241187559,0.97,0.108403976669874,0.95
"s9","Easy",0.5,"A","A","cset","err_rate",0.0290124600494185,0.855,0.0189194650678298,0.95
"s9","Easy",0.5,"A","A","cset","inc_rate",0.157341241187559,0.925,0.0957299494175327,0.95
"s9","Easy",0.5,"A","A","examiner","err_rate",0.0290124600494185,0.855,0.0198252951604921,0.95
"s9","Easy",0.5,"A","A","examiner","inc_rate",0.157341241187559,0.605,0.0438766256153808,0.95
"s9","Easy",0.5,"A","A","row","err_rate",0.0290124600494185,0.695,0.01312693687941,0.95
"s9","Easy",0.5,"A","A","row","inc_rate",0.157341241187559,0.4,0.0258822183252084,0.95
"s10","Easy",0.5,"B","B","combined","err_rate",0.0441147935173343,0.975,0.0396426187103756,0.95
"s10","Easy",0.5,"B","B","combined","inc_rate",0.199446265906465,0.945,0.123852280621706,0.95
"s10","Easy",0.5,"B","B","cset","err_rate",0.0441147935173343,0.85,0.024320417662857,0.95
"s10","Easy",0.5,"B","B","cset","inc_rate",0.199446265906465,0.9,0.110751792145697,0.95
"s10","Easy",0.5,"B","B","examiner","err_rate",0.0441147935173343,0.84,0.0261897784937314,0.95
"s10","Easy",0.5,"B","B","examiner","inc_rate",0.199446265906465,0.6,0.0478280239612782,0.95
"s10","Easy",0.5,"B","B","row","err_rate",0.0441147935173343,0.645,0.0163036924089927,0.95
"s10","Easy",0.5,"B","B","row","inc_rate",0.199446265906465,0.35,0.0282638571499921,0.95
"s11","Easy",0.5,"C","C","combined","err_rate",0.0666877997739222,0.965,0.0519064821268777,0.95
"s11","Easy",0.5,"C","C","combined","inc_rate",0.242841180507015,0.935,0.137074174792281,0.95
"s11","Easy",0.5,"C","C","cset","err_rate",0.0666877997739222,0.82,0.0307081958104169,0.95
"s11","Easy",0.5,"C","C","cset","inc_rate",0.242841180507015,0.915,0.123565954150039,0.95
"s11","Easy",0.5,"C","C","examiner","err_rate",0.0666877997739222,0.88,0.0360429728474099,0.95
"s11","Easy",0.5,"C","C","examiner","inc_rate",0.242841180507015,0.54,0.0494805742749981,0.95
"s11","Easy",0.5,"C","C","row","err_rate",0.0666877997739222,0.645,0.0205094573029427,0.95
"s11","Easy",0.5,"C","C","row","inc_rate",0.242841180507015,0.385,0.0304217992478359,0.95
"s12","Easy",0.5,"C","D","combined","err_rate",0.0693142190761183,0.98,0.0537197598750774,0.95
"s12","Easy",0.5,"C","D","combined","inc_rate",0.260212672349229,0.955,0.142019493183076,0.95
"s12","Easy",0.5,"C","D","cset","err_rate",0.0693142190761183,0.83,0.0306512666351671,0.95
"s12","Easy",0.5,"C","D","cset","inc_rate",0.260212672349229,0.94,0.127808621601835,0.95
"s12","Easy",0.5,"C","D","examiner","err_rate",0.0693142190761183,0.915,0.0380598592059572,0.95
"s12","Easy",0.5,"C","D","examiner","inc_rate",0.260212672349229,0.55,0.0503328724971486,0.95
"s12","Easy",0.5,"C","D","row","err_rate",0.0693142190761183,0.635,0.0209934782870272,0.95
"s12","Easy",0.5,"C","D","row","inc_rate",0.260212672349229,0.345,0.0311275017922659,0.95
"s13","Medium",0,"A","A","combined","err_rate",0.0702055059892097,0.98,0.0569833115407005,0.95
"s13","Medium",0,"A","A","combined","inc_rate",0.337882729672078,0.94,0.141572101082323,0.95
"s13","Medium",0,"A","A","cset","err_rate",0.0702055059892097,0.775,0.0329421679221844,0.95
"s13","Medium",0,"A","A","cset","inc_rate",0.337882729672078,0.88,0.107419226652735,0.95
"s13","Medium",0,"A","A","examiner","err_rate",0.0702055059892097,0.855,0.0407592744309684,0.95
"s13","Medium",0,"A","A","examiner","inc_rate",0.337882729672078,0.775,0.0833898516344817,0.95
"s13","Medium",0,"A","A","row","err_rate",0.0702055059892097,0.565,0.0224226124455388,0.95
"s13","Medium",0,"A","A","row","inc_rate",0.337882729672078,0.425,0.0336305801511513,0.95
"s14","Medium",0,"B","B","combined","err_rate",0.102025073053752,0.98,0.0763446067891437,0.95
"s14","Medium",0,"B","B","combined","inc_rate",0.414190153510485,0.945,0.151111199748858,0.95
"s14","Medium",0,"B","B","cset","err_rate",0.102025073053752,0.855,0.0464826506501952,0.95
"s14","Medium",0,"B","B","cset","inc_rate",0.414190153510485,0.855,0.120105514425376,0.95
"s14","Medium",0,"B","B","examiner","err_rate",0.102025073053752,0.865,0.0532165386067399,0.95
"s14","Medium",0,"B","B","examiner","inc_rate",0.414190153510485,0.755,0.0843457195203763,0.95
"s14","Medium",0,"B","B","row","err_rate",0.102025073053752,0.545,0.0281325392703764,0.95
"s14","Medium",0,"B","B","row","inc_rate",0.414190153510485,0.38,0.0349284192302764,0.95
"s15","Medium",0,"C","C","combined","err_rate",0.143526810919986,0.975,0.0993862047239833,0.95
"s15","Medium",0,"C","C","combined","inc_rate",0.489695056478994,0.95,0.156862124645084,0.95
"s15","Medium",0,"C","C","cset","err_rate",0.143526810919986,0.81,0.0633673467653605,0.95
"s15","Medium",0,"C","C","cset","inc_rate",0.489695056478994,0.895,0.130606101190425,0.95
"s15","Medium",0,"C","C","examiner","err_rate",0.143526810919986,0.85,0.0670617888824112,0.95
"s15","Medium",0,"C","C","examiner","inc_rate",0.489695056478994,0.685,0.0796764100297785,0.95
"s15","Medium",0,"C","C","row","err_rate",0.143526810919986,0.515,0.0350600107400628,0.95
"s15","Medium",0,"C","C","row","inc_rate",0.489695056478994,0.39,0.0358223018959173,0.95
"s16","Medium",0,"C","D","combined","err_rate",0.146377369582441,0.975,0.102202203327558,0.95
"s16","Medium",0,"C","D","combined","inc_rate",0.520794399448513,0.94,0.158443912790078,0.95
"s16","Medium",0,"C","D","cset","err_rate",0.146377369582441,0.865,0.0656379982757569,0.95
"s16","Medium",0,"C","D","cset","inc_rate",0.520794399448513,0.885,0.133140335279022,0.95
"s16","Medium",0,"C","D","examiner","err_rate",0.146377369582441,0.845,0.0688308228884011,0.95
"s16","Medium",0,"C","D","examiner","inc_rate",0.520794399448513,0.675,0.0775682784492723,0.95
"s16","Medium",0,"C","D","row","err_rate",0.146377369582441,0.51,0.0364129023120324,0.95
"s16","Medium",0,"C","D","row","inc_rate",0.520794399448513,0.425,0.0358652603144524,0.95
"s17","Medium",0.2,"A","A","combined","err_rate",0.0700096277230536,0.98,0.0568099450412856,0.95
"s17","Medium",0.2,"A","A","combined","inc_rate",0.348019504038932,0.93,0.143360046228941,0.95
"s17","Medium",0.2,"A","A","cset","err_rate",0.0700096277230536,0.8,0.0329606373008907,0.95
"s17","Medium",0.2,"A","A","cset","inc_rate",0.348019504038932,0.88,0.110039804329634,0.95
"s17","Medium",0.2,"A","A","examiner","err_rate",0.0700096277230536,0.85,0.0401712507273752,0.95
"s17","Medium",0.2,"A","A","examiner","inc_rate",0.348019504038932,0.775,0.0838286149566577,0.95
"s17","Medium",0.2,"A","A","row","err_rate",0.0700096277230536,0.575,0.0226267710327993,0.95
"s17","Medium",0.2,"A","A","row","inc_rate",0.348019504038932,0.425,0.0339821571538204,0.95
"s18","Medium",0.2,"B","B","combined","err_rate",0.100494749324442,0.965,0.0753262887514078,0.95
"s18","Medium",0.2,"B","B","combined","inc_rate",0.427066571906753,0.95,0.152553381092197,0.95
"s18","Medium",0.2,"B","B","cset","err_rate",0.100494749324442,0.805,0.045759417352759,0.95
"s18","Medium",0.2,"B","B","cset","inc_rate",0.427066571906753,0.875,0.122136189418197,0.95
"s18","Medium",0.2,"B","B","examiner","err_rate",0.100494749324442,0.87,0.0521293227496236,0.95
"s18","Medium",0.2,"B","B","examiner","inc_rate",0.427066571906753,0.755,0.0842326827483323,0.95
"s18","Medium",0.2,"B","B","row","err_rate",0.100494749324442,0.585,0.0282876551253865,0.95
"s18","Medium",0.2,"B","B","row","inc_rate",0.427066571906753,0.375,0.0350909174410366,0.95
"s19","Medium",0.2,"C","C","combined","err_rate",0.141782246986654,0.97,0.0980744504949431,0.95
"s19","Medium",0.2,"C","C","combined","inc_rate",0.502982817735781,0.95,0.157396487234155,0.95
"s19","Medium",0.2,"C","C","cset","err_rate",0.141782246986654,0.825,0.0630684373181535,0.95
"s19","Medium",0.2,"C","C","cset","inc_rate",0.502982817735781,0.88,0.131524146272968,0.95
"s19","Medium",0.2,"C","C","examiner","err_rate",0.141782246986654,0.85,0.0653986278475529,0.95
"s19","Medium",0.2,"C","C","examiner","inc_rate",0.502982817735781,0.68,0.0789361330045443,0.95
"s19","Medium",0.2,"C","C","row","err_rate",0.141782246986654,0.535,0.0350021780323925,0.95
"s19","Medium",0.2,"C","C","row","inc_rate",0.502982817735781,0.405,0.0358949301767134,0.95
"s20","Medium",0.2,"C","D","combined","err_rate",0.14252593792782,0.975,0.101600722228769,0.95
"s20","Medium",0.2,"C","D","combined","inc_rate",0.532100621869789,0.94,0.158524696215764,0.95
"s20","Medium",0.2,"C","D","cset","err_rate",0.14252593792782,0.815,0.0655703333456775,0.95
"s20","Medium",0.2,"C","D","cset","inc_rate",0.532100621869789,0.895,0.135006228101658,0.95
"s20","Medium",0.2,"C","D","examiner","err_rate",0.14252593792782,0.85,0.0672602752406488,0.95
"s20","Medium",0.2,"C","D","examiner","inc_rate",0.532100621869789,0.67,0.0768948860640418,0.95
"s20","Medium",0.2,"C","D","row","err_rate",0.14252593792782,0.5,0.0365429034387338,0.95
"s20","Medium",0.2,"C","D","row","inc_rate",0.532100621869789,0.415,0.0357171813476104,0.95
"s21","Medium",0.5,"A","A","combined","err_rate",0.0678503100466253,0.975,0.0562568729561547,0.95
"s21","Medium",0.5,"A","A","combined","inc_rate",0.366416139581506,0.93,0.145223519002557,0.95
"s21","Medium",0.5,"A","A","cset","err_rate",0.0678503100466253,0.785,0.0327575107086821,0.95
"s21","Medium",0.5,"A","A","cset","inc_rate",0.366416139581506,0.89,0.11209269958624,0.95
"s21","Medium",0.5,"A","A","examiner","err_rate",0.0678503100466253,0.89,0.039641396140265,0.95
"s21","Medium",0.5,"A","A","examiner","inc_rate",0.366416139581506,0.795,0.0840691083955287,0.95
"s21","Medium",0.5,"A","A","row","err_rate",0.0678503100466253,0.575,0.022642543077544,0.95
"s21","Medium",0.5,"A","A","row","inc_rate",0.366416139581506,0.44,0.0343721842837064,0.95
"s22","Medium",0.5,"B","B","combined","err_rate",0.0975043409365944,0.99,0.0744008281696169,0.95
"s22","Medium",0.5,"B","B","combined","inc_rate",0.441952800026147,0.95,0.153171456822238,0.95
"s22","Medium",0.5,"B","B","cset","err_rate",0.0975043409365944,0.78,0.045316372308627,0.95
"s22","Medium",0.5,"B","B","cset","inc_rate",0.441952800026147,0.87,0.123767568116213,0.95
"s22","Medium",0.5,"B","B","examiner","err_rate",0.0975043409365944,0.84,0.0515884358994657,0.95
"s22","Medium",0.5,"B","B","examiner","inc_rate",0.441952800026147,0.745,0.0839476275362565,0.95
"s22","Medium",0.5,"B","B","row","err_rate",0.0975043409365944,0.615,0.028355626938537,0.95
"s22","Medium",0.5,"B","B","row","inc_rate",0.441952800026147,0.395,0.0354426118194787,0.95
"s23","Medium",0.5,"C","C","combined","err_rate",0.137219965001606,0.965,0.0971614893373774,0.95
"s23","Medium",0.5,"C","C","combined","inc_rate",0.515475305185708,0.95,0.157960816025886,0.95
"s23","Medium",0.5,"C","C","cset","err_rate",0.137219965001606,0.865,0.0623940318545072,0.95
"s23","Medium",0.5,"C","C","cset","inc_rate",0.515475305185708,0.895,0.132961265414265,0.95
"s23","Medium",0.5,"C","C","examiner","err_rate",0.137219965001606,0.85,0.0646583030842109,0.95
"s23","Medium",0.5,"C","C","examiner","inc_rate",0.515475305185708,0.675,0.0774538774339355,0.95
"s23","Medium",0.5,"C","C","row","err_rate",0.137219965001606,0.53,0.0353495951964868,0.95
"s23","Medium",0.5,"C","C","row","inc_rate",0.515475305185708,0.39,0.0357976768056029,0.95
"s24","Medium",0.5,"C","D","combined","err_rate",0.137537373997158,0.985,0.100170439859752,0.95
"s24","Medium",0.5,"C","D","combined","inc_rate",0.545210629250641,0.955,0.15971509671165,0.95
"s24","Medium",0.5,"C","D","cset","err_rate",0.137537373997158,0.875,0.0641249540298083,0.95
"s24","Medium",0.5,"C","D","cset","inc_rate",0.545210629250641,0.9,0.1353339029874,0.95
"s24","Medium",0.5,"C","D","examiner","err_rate",0.137537373997158,0.88,0.0671736505274317,0.95
"s24","Medium",0.5,"C","D","examiner","inc_rate",0.545210629250641,0.66,0.0752740901022074,0.95
"s24","Medium",0.5,"C","D","row","err_rate",0.137537373997158,0.545,0.0366204318003341,0.95
"s24","Medium",0.5,"C","D","row","inc_rate",0.545210629250641,0.415,0.0356069359469551,0.95
"s25","Difficult",0,"A","A","combined","err_rate",0.120802965413806,0.97,0.0861554050671555,0.95
"s25","Difficult",0,"A","A","combined","inc_rate",0.511091503636925,0.925,0.148454715557857,0.95
"s25","Difficult",0,"A","A","cset","err_rate",0.120802965413806,0.755,0.04576671885033,0.95
"s25","Difficult",0,"A","A","cset","inc_rate",0.511091503636925,0.825,0.0989582227444702,0.95
"s25","Difficult",0,"A","A","examiner","err_rate",0.120802965413806,0.875,0.0648795551821419,0.95
"s25","Difficult",0,"A","A","examiner","inc_rate",0.511091503636925,0.82,0.104769957752286,0.95
"s25","Difficult",0,"A","A","row","err_rate",0.120802965413806,0.63,0.0335284809550208,0.95
"s25","Difficult",0,"A","A","row","inc_rate",0.511091503636925,0.365,0.035576381175745,0.95
"s26","Difficult",0,"B","B","combined","err_rate",0.174178847881826,0.975,0.11468188662712,0.95
"s26","Difficult",0,"B","B","combined","inc_rate",0.607971308139696,0.95,0.146957111605933,0.95
"s26","Difficult",0,"B","B","cset","err_rate",0.174178847881826,0.81,0.0672865127759961,0.95
"s26","Difficult",0,"B","B","cset","inc_rate",0.607971308139696,0.8,0.103023588534919,0.95
"s26","Difficult",0,"B","B","examiner","err_rate",0.174178847881826,0.885,0.0827042394414501,0.95
"s26","Difficult",0,"B","B","examiner","inc_rate",0.607971308139696,0.775,0.0975267931623669,0.95
"s26","Difficult",0,"B","B","row","err_rate",0.174178847881826,0.575,0.0430069111509562,0.95
"s26","Difficult",0,"B","B","row","inc_rate",0.607971308139696,0.405,0.0347350176300137,0.95
"s27","Difficult",0,"C","C","combined","err_rate",0.235550759619602,0.975,0.152988284423887,0.95
"s27","Difficult",0,"C","C","combined","inc_rate",0.685157082656488,0.935,0.139589724907232,0.95
"s27","Difficult",0,"C","C","cset","err_rate",0.235550759619602,0.825,0.0997256198954224,0.95
"s27","Difficult",0,"C","C","cset","inc_rate",0.685157082656488,0.85,0.105198244030166,0.95
"s27","Difficult",0,"C","C","examiner","err_rate",0.235550759619602,0.825,0.100892679507725,0.95
"s27","Difficult",0,"C","C","examiner","inc_rate",0.685157082656488,0.715,0.0841074029525377,0.95
"s27","Difficult",0,"C","C","row","err_rate",0.235550759619602,0.56,0.0550113714196877,0.95
"s27","Difficult",0,"C","C","row","inc_rate",0.685157082656488,0.31,0.0328443021345229,0.95
"s28","Difficult",0,"C","D","combined","err_rate",0.239396307000022,0.97,0.161983182114562,0.95
"s28","Difficult",0,"C","D","combined","inc_rate",0.715921184746202,0.95,0.135299884199425,0.95
"s28","Difficult",0,"C","D","cset","err_rate",0.239396307000022,0.825,0.107795080567911,0.95
"s28","Difficult",0,"C","D","cset","inc_rate",0.715921184746202,0.845,0.104347861447667,0.95
"s28","Difficult",0,"C","D","examiner","err_rate",0.239396307000022,0.815,0.104367718808487,0.95
"s28","Difficult",0,"C","D","examiner","inc_rate",0.715921184746202,0.725,0.0784665675662745,0.95
"s28","Difficult",0,"C","D","row","err_rate",0.239396307000022,0.555,0.057914292286848,0.95
"s28","Difficult",0,"C","D","row","inc_rate",0.715921184746202,0.335,0.0319845871545348,0.95
"s29","Difficult",0.2,"A","A","combined","err_rate",0.120119309191775,0.985,0.087403682451625,0.95
"s29","Difficult",0.2,"A","A","combined","inc_rate",0.527129956655584,0.93,0.148479336409258,0.95
"s29","Difficult",0.2,"A","A","cset","err_rate",0.120119309191775,0.745,0.0465881716139207,0.95
"s29","Difficult",0.2,"A","A","cset","inc_rate",0.527129956655584,0.825,0.0996656590498208,0.95
"s29","Difficult",0.2,"A","A","examiner","err_rate",0.120119309191775,0.865,0.0653373759387696,0.95
"s29","Difficult",0.2,"A","A","examiner","inc_rate",0.527129956655584,0.81,0.103975615908854,0.95
"s29","Difficult",0.2,"A","A","row","err_rate",0.120119309191775,0.56,0.0338674969933912,0.95
"s29","Difficult",0.2,"A","A","row","inc_rate",0.527129956655584,0.37,0.0355131856471409,0.95
"s30","Difficult",0.2,"B","B","combined","err_rate",0.171268242916406,0.98,0.116468766700377,0.95
"s30","Difficult",0.2,"B","B","combined","inc_rate",0.617149074748028,0.935,0.145776595888013,0.95
"s30","Difficult",0.2,"B","B","cset","err_rate",0.171268242916406,0.805,0.0679411263814243,0.95
"s30","Difficult",0.2,"B","B","cset","inc_rate",0.617149074748028,0.82,0.103364990248296,0.95
"s30","Difficult",0.2,"B","B","examiner","err_rate",0.171268242916406,0.885,0.0839801764579733,0.95
"s30","Difficult",0.2,"B","B","examiner","inc_rate",0.617149074748028,0.77,0.0951959670798419,0.95
"s30","Difficult",0.2,"B","B","row","err_rate",0.171268242916406,0.63,0.0437681032476541,0.95
"s30","Difficult",0.2,"B","B","row","inc_rate",0.617149074748028,0.405,0.0345434714474714,0.95
"s31","Difficult",0.2,"C","C","combined","err_rate",0.233943530870307,0.96,0.154756185735561,0.95
"s31","Difficult",0.2,"C","C","combined","inc_rate",0.69925391738796,0.925,0.137698918359755,0.95
"s31","Difficult",0.2,"C","C","cset","err_rate",0.233943530870307,0.8,0.100900709819244,0.95
"s31","Difficult",0.2,"C","C","cset","inc_rate",0.69925391738796,0.84,0.104751000350109,0.95
"s31","Difficult",0.2,"C","C","examiner","err_rate",0.233943530870307,0.81,0.101781945745451,0.95
"s31","Difficult",0.2,"C","C","examiner","inc_rate",0.69925391738796,0.76,0.0819763347691164,0.95
"s31","Difficult",0.2,"C","C","row","err_rate",0.233943530870307,0.575,0.0554521396268768,0.95
"s31","Difficult",0.2,"C","C","row","inc_rate",0.69925391738796,0.295,0.0324631702500437,0.95
"s32","Difficult",0.2,"C","D","combined","err_rate",0.236368110663039,0.95,0.162438495276095,0.95
"s32","Difficult",0.2,"C","D","combined","inc_rate",0.731754131448095,0.96,0.13399870022125,0.95
"s32","Difficult",0.2,"C","D","cset","err_rate",0.236368110663039,0.83,0.109161324040029,0.95
"s32","Difficult",0.2,"C","D","cset","inc_rate",0.731754131448095,0.845,0.104164064334334,0.95
"s32","Difficult",0.2,"C","D","examiner","err_rate",0.236368110663039,0.8,0.103650978576523,0.95
"s32","Difficult",0.2,"C","D","examiner","inc_rate",0.731754131448095,0.7,0.0760417483952806,0.95
"s32","Difficult",0.2,"C","D","row","err_rate",0.236368110663039,0.585,0.0586229579170606,0.95
"s32","Difficult",0.2,"C","D","row","inc_rate",0.731754131448095,0.32,0.0317316061900993,0.95
"s33","Difficult",0.5,"A","A","combined","err_rate",0.117552725381953,0.975,0.0875929434500421,0.95
"s33","Difficult",0.5,"A","A","combined","inc_rate",0.549641652926123,0.925,0.148428966811996,0.95
"s33","Difficult",0.5,"A","A","cset","err_rate",0.117552725381953,0.77,0.0475861060040517,0.95
"s33","Difficult",0.5,"A","A","cset","inc_rate",0.549641652926123,0.81,0.100529031073645,0.95
"s33","Difficult",0.5,"A","A","examiner","err_rate",0.117552725381953,0.895,0.0640939174469122,0.95
"s33","Difficult",0.5,"A","A","examiner","inc_rate",0.549641652926123,0.815,0.102272537954615,0.95
"s33","Difficult",0.5,"A","A","row","err_rate",0.117552725381953,0.62,0.0344249618476429,0.95
"s33","Difficult",0.5,"A","A","row","inc_rate",0.549641652926123,0.385,0.0354374285015081,0.95
"s34","Difficult",0.5,"B","B","combined","err_rate",0.168036357783565,0.97,0.116840031616866,0.95
"s34","Difficult",0.5,"B","B","combined","inc_rate",0.63986041945215,0.945,0.144090402500684,0.95
